index,Municipio,Ncontagios
0,AGUADAS,7
1,ANSERMA,40
2,ARANZAZU,12
3,BELALCAZAR,15
4,CHINCHINA,82
5,FILADELFIA,7
6,LA DORADA,142
7,LA MERCED,1
8,MANIZALES,1630
9,MANZANARES,24
10,MARMATO,7
11,MARQUETALIA,2
12,MARULANDA,3
13,NEIRA,12
14,NORCASIA,7
15,PACORA,29
16,PALESTINA,9
17,PENSILVANIA,26
18,RIOSUCIO,31
19,RISARALDA,9
20,SALAMINA,4
21,SAMANA,12
22,SAN JOSE,2
23,SUPIA,18
24,VICTORIA,1
25,VILLAMARIA,136
26,VITERBO,19
