index,Municipio,Ncontagios
0,ACACIAS,112
1,BARRANCA DE UPIA,8
2,CABUYARO,3
3,CASTILLA LA NUEVA,8
4,CUBARRAL,2
5,CUMARAL,16
6,EL CALVARIO,2
7,EL DORADO,2
8,FUENTE DE ORO,6
9,GRANADA,55
10,GUAMAL,2
11,LA URIBE,2
12,MAPIRIPAN,3
13,MESETAS,5
14,PUERTO CONCORDIA,2
15,PUERTO GAITAN,87
16,PUERTO LLERAS,1
17,PUERTO LOPEZ,34
18,PUERTO RICO,5
19,RESTREPO,22
20,SAN CARLOS DE GUAROA,4
21,SAN JUAN DE ARAMA,1
22,SAN MARTIN,18
23,VILLAVICENCIO,1590
24,VISTAHERMOSA,2
