index,Municipio,Ncontagios
0,COLON,7
1,MOCOA,92
2,ORITO,18
3,PUERTO ASIS,83
4,PUERTO CAICEDO,16
5,PUERTO GUZMAN,4
6,PUERTO LEGUIZAMO,1
7,SAN FRANCISCO,7
8,SAN MIGUEL (LA DORADA),2
9,SIBUNDOY,20
10,VALLE DEL GUAMUEZ,24
11,VILLAGARZON,41
