index,Municipio,Ncontagios
0,AGUAZUL,49
1,HATO COROZAL,17
2,MANI,9
3,MONTERREY,18
4,NUNCHIA,6
5,OROCUE,6
6,PAZ DE ARIPORO,20
7,PORE,1
8,RECETOR,4
9,SABANALARGA,5
10,SAN LUIS DE PALENQUE,8
11,TAMARA,1
12,TAURAMENA,17
13,TRINIDAD,7
14,VILLANUEVA,37
15,YOPAL,520
