index,Municipio,Ncontagios
0,AGUACHICA,94
1,AGUSTIN CODAZZI,51
2,ASTREA,29
3,BECERRIL,25
4,BOSCONIA,68
5,CHIMICHAGUA,14
6,CHIRIGUANA,23
7,CURUMANI,30
8,EL COPEY,16
9,EL PASO,26
10,GAMARRA,6
11,GONZALEZ,2
12,LA GLORIA,4
13,LA JAGUA DE IBIRICO,48
14,MANAURE BALCON DEL CESAR,9
15,PAILITAS,14
16,PELAYA,10
17,PUEBLO BELLO,9
18,RIO DE ORO,23
19,ROBLES (LA PAZ),9
20,SAN ALBERTO,26
21,SAN DIEGO,12
22,SAN MARTIN,37
23,TAMALAMEQUE,1
24,VALLEDUPAR,1121
