index,Municipio,Ncontagios
0,ALBANIA,4
1,BELEN DE LOS ANDAQUIES,2
2,CARTAGENA DEL CHAIRA,27
3,CURILLO,2
4,EL DONCELLO,23
5,EL PAUJIL,11
6,FLORENCIA,499
7,LA MONTANITA,8
8,MILAN,2
9,MORELIA,6
10,PUERTO RICO,21
11,SAN JOSE DEL FRAGUA,5
12,SAN VICENTE DEL CAGUAN,35
13,SOLANO,1
14,VALPARAISO,3
