index,Municipio,Ncontagios
0,BARANOA,199
1,CAMPO DE LA CRUZ,21
2,CANDELARIA,11
3,GALAPA,182
4,JUAN DE ACOSTA,74
5,LURUACO,19
6,MALAMBO,276
7,MANATI,28
8,PALMAR DE VARELA,66
9,PIOJO,5
10,POLO NUEVO,29
11,PONEDERA,33
12,PUERTO COLOMBIA,163
13,REPELON,40
14,SABANAGRANDE,89
15,SABANALARGA,215
16,SANTA LUCIA,23
17,SANTO TOMAS,137
18,SOLEDAD,1570
19,SUAN,26
20,TUBARA,38
21,USIACURI,20
