index,Municipio,Ncontagios
0,APIA,7
1,BALBOA,6
2,BELEN DE UMBRIA,19
3,DOSQUEBRADAS,464
4,GUATICA,3
5,LA CELIA,4
6,LA VIRGINIA,61
7,MARSELLA,7
8,MISTRATO,2
9,PEREIRA,1487
10,PUEBLO RICO,5
11,QUINCHIA,15
12,SANTA ROSA DE CABAL,123
13,SANTUARIO,8
