index,Municipio,Ncontagios
0,BUENAVISTA,21
1,CAIMITO,1
2,CHALAN,2
3,COLOSO (RICAURTE),1
4,COROZAL,112
5,COVEÃ‘AS,46
6,EL ROBLE,3
7,GALERAS (NUEVA GRANADA),16
8,GUARANDA,8
9,LA UNION,3
10,LOS PALMITOS,22
11,MAJAGUAL,6
12,MORROA,9
13,OVEJAS,30
14,PALMITO,3
15,SAMPUES,42
16,SAN BENITO ABAD,4
17,SAN JUAN DE BETULIA,5
18,SAN MARCOS,24
19,SAN ONOFRE,16
20,SAN PEDRO,17
21,SINCE,45
22,SINCELEJO,585
23,SUCRE,11
24,TOLU,31
25,TOLUVIEJO,13
