index,Municipio,Ncontagios
0,ARMENIA,1291
1,BUENAVISTA,7
2,CALARCA,182
3,CIRCASIA,43
4,CORDOBA,11
5,FILANDIA,10
6,GENOVA,7
7,LA TEBAIDA,41
8,MONTENEGRO,61
9,PIJAO,9
10,QUIMBAYA,45
11,SALENTO,24
