index,Municipio,Ncontagios
0,ALBANIA,24
1,BARRANCAS,29
2,DIBULLA,11
3,DISTRACCION,6
4,EL MOLINO,6
5,FONSECA,26
6,HATONUEVO,12
7,MAICAO,176
8,MANAURE,9
9,RIOHACHA,285
10,SAN JUAN DEL CESAR,60
11,URIBIA,19
12,URUMITA,2
13,VILLANUEVA,17
